,amount_of_feats_to_reg,corr_cutoff_bound,linear_reg_to,next_predictor_provider,order,req_neighs,Rm_mape,Rm_r2,Rm_missing_from_test,Rm_missing,Rp02_mape,Rp02_r2,Rp02_missing_from_test,Rp02_missing,A5_mape,A5_r2,A5_missing_from_test,A5_missing,HB_mape,HB_r2,HB_missing_from_test,HB_missing,K_mape,K_r2,K_missing_from_test,K_missing,avg_r2,avg_mape
0,1,0.85,0.7,lin,1,5,4.46027584593197,0.8304127520258324,1,10.0,7.264483653003075,0.6889084580824574,0,13.0,45.12976227208094,-0.21959045379843944,10,87.0,12.64432244913788,0.3305668497373857,3,7.0,21.475503185362918,0.574966318333978,4,95.0,0.44105278487624283,18.194869481103353
1,1,0.85,0.7,lin,1,10,4.46027584593197,0.8304127520258324,1,14.0,7.264483653003075,0.6889084580824574,0,19.0,45.12976227208094,-0.21959045379843944,10,87.0,13.450368260429565,0.2764296614026387,3,7.0,21.475503185362918,0.574966318333978,4,102.0,0.4302253472092934,18.356078643361695
2,1,0.85,0.7,lin,1,20,4.3249669582100765,0.8320374700375586,1,10.0,7.361161064131508,0.6885439660387718,0,10.0,45.12976227208094,-0.21959045379843944,10,92.0,9.215114591932835,0.5280720522827528,1,14.0,30.15505435238433,0.1097706120370453,3,38.0,0.3877667293195378,19.237211847747936
3,1,0.85,0.7,lin,2,5,5.036633306621722,0.8070643250595195,1,8.0,7.328345169727335,0.7689008125977401,1,16.0,15.085026219042863,0.4655541654493126,13,142.0,7.475392022643315,0.6617922701842259,6,20.0,18.369041706169178,0.8613206753326619,7,75.0,0.712926449724692,10.658887684840881
4,1,0.85,0.7,lin,2,10,5.297725162164724,0.7949963104363272,1,10.0,7.026426835918348,0.7776098358539667,1,16.0,16.700161430866068,0.4821518999546207,10,136.0,5.355580358687584,0.7597134499129313,4,11.0,9.882313499784956,0.6998972202199681,6,133.0,0.7028737432755628,8.852441457484336
5,1,0.85,0.7,lin,2,20,5.297725162164724,0.7949963104363272,1,10.0,7.026426835918348,0.7776098358539667,1,16.0,16.59184607633832,0.577482195964134,10,136.0,6.523769267161065,0.6990152497762816,4,11.0,9.882313499784956,0.6998972202199681,6,132.0,0.7098001624501356,9.064416168273484
6,1,0.85,0.7,dectree,1,5,4.3249669582100765,0.8320374700375586,1,10.0,7.361161064131508,0.6885439660387718,0,9.0,45.12976227208094,-0.21959045379843944,10,92.0,9.215114591932835,0.5280720522827528,1,14.0,42.519557937059346,-0.01527110756165495,2,34.0,0.36275838539979777,21.71011256468294
7,1,0.85,0.7,dectree,1,10,5.036633306621722,0.8070643250595195,1,8.0,7.328345169727335,0.7689008125977401,1,16.0,15.085026219042863,0.4655541654493126,13,142.0,7.475392022643315,0.6617922701842259,6,20.0,18.369041706169178,0.8613206753326619,7,75.0,0.712926449724692,10.658887684840881
8,1,0.85,0.7,dectree,1,20,7.062092688243167,0.5915318662000288,2,6.0,7.429201455105101,0.7915952515471743,1,11.0,19.824251551279886,0.44481253523087416,14,244.0,3.8953851874581793,0.9205634437930178,6,119.0,11.92638665923572,0.683026991004559,7,175.0,0.6863060175551308,10.027463508264411
9,1,0.85,0.7,dectree,2,5,4.46027584593197,0.8304127520258324,1,14.0,7.264483653003075,0.6889084580824574,0,19.0,45.12976227208094,-0.21959045379843944,10,87.0,13.450368260429565,0.2764296614026387,3,7.0,21.475503185362918,0.574966318333978,4,102.0,0.4302253472092934,18.356078643361695
