,amount_of_feats_to_reg,corr_cutoff_bound,linear_reg_to,next_predictor_provider,order,req_neighs,Rm_mape,Rm_r2,Rm_missing_from_test,Rm_missing,Rp02_mape,Rp02_r2,Rp02_missing_from_test,Rp02_missing,A5_mape,A5_r2,A5_missing_from_test,A5_missing,HB_mape,HB_r2,HB_missing_from_test,HB_missing,K_mape,K_r2,K_missing_from_test,K_missing,avg_r2,avg_mape,missing_all,missing_test_percent
133,2,0.95,0.85,lin,1,10,2.8889792905467346,0.9604305734177483,7,166.0,7.397989480862033,0.8070276516582833,7,199.0,19.647973825367256,0.6894943065565182,15,182.0,6.034563574431819,0.9014080476951793,8,153.0,6.198324999288099,0.7766590168205533,9,341.0,0.8270039192296565,8.433566234099189,1041.0,0.5348837209302325
127,2,0.95,0.7,dectree,1,10,2.8889792905467346,0.9604305734177483,7,166.0,7.397989480862033,0.8070276516582833,7,199.0,19.647973825367256,0.6894943065565182,15,182.0,6.034563574431819,0.9014080476951793,8,153.0,6.198324999288099,0.7766590168205533,9,341.0,0.8270039192296565,8.433566234099189,1041.0,0.5348837209302325
122,2,0.95,0.7,lin,1,20,2.8889792905467346,0.9604305734177483,7,166.0,7.397989480862033,0.8070276516582833,7,199.0,19.647973825367256,0.6894943065565182,15,182.0,6.034563574431819,0.9014080476951793,8,153.0,6.198324999288099,0.7766590168205533,9,341.0,0.8270039192296565,8.433566234099189,1041.0,0.5348837209302325
72,2,0.85,0.7,lin,1,5,6.844217276152009,0.5617821328493913,7,127.0,4.732859160016537,0.8937418010088577,2,132.0,11.48010815693743,-0.27137625017608324,18,271.0,5.349837479763314,0.8870972075338556,10,142.0,14.784002350564048,,10,344.0,,8.638204884686667,1016.0,0.5465116279069767
70,1,0.95,0.85,dectree,2,10,7.109627733502824,0.5460036473453382,7,156.0,4.322736537932136,0.8963341525585617,2,158.0,11.48010815693743,-0.27137625017608324,18,271.0,6.06679422194925,0.8668004718152673,9,148.0,14.784002350564048,,10,344.0,,8.752653800177137,1077.0,0.5348837209302325
98,2,0.9,0.7,lin,1,20,3.00369407465211,0.9537595773697123,6,156.0,7.687116440898337,0.8032737219287015,7,191.0,26.74101484311763,0.42064274268613133,16,170.0,6.083748179351047,0.9011175192565072,8,149.0,0.6145091205711475,,10,289.0,,8.826016531718055,955.0,0.5465116279069767
104,2,0.9,0.7,dectree,1,20,3.00369407465211,0.9537595773697123,6,156.0,7.687116440898337,0.8032737219287015,7,191.0,26.74101484311763,0.42064274268613133,16,170.0,6.083748179351047,0.9011175192565072,8,149.0,0.6145091205711475,,10,289.0,,8.826016531718055,955.0,0.5465116279069767
110,2,0.9,0.85,lin,1,20,3.00369407465211,0.9537595773697123,6,156.0,7.687116440898337,0.8032737219287015,7,191.0,26.74101484311763,0.42064274268613133,16,170.0,6.083748179351047,0.9011175192565072,8,149.0,0.6145091205711475,,10,289.0,,8.826016531718055,955.0,0.5465116279069767
4,1,0.85,0.7,lin,2,10,5.297725162164724,0.7949963104363272,1,11.0,7.026426835918348,0.7776098358539667,1,17.0,16.700161430866068,0.4821518999546207,10,146.0,5.355580358687584,0.7597134499129313,4,15.0,9.882313499784956,0.6998972202199681,6,139.0,0.7028737432755628,8.852441457484336,328.0,0.2558139534883721
12,1,0.85,0.85,lin,1,5,5.297725162164724,0.7949963104363272,1,11.0,7.026426835918348,0.7776098358539667,1,17.0,16.700161430866068,0.4821518999546207,10,146.0,5.355580358687584,0.7597134499129313,4,15.0,9.882313499784956,0.6998972202199681,6,139.0,0.7028737432755628,8.852441457484336,328.0,0.2558139534883721
